العميل,الموقع,كيلو متر
6,اكتوبر,555
التوب اكتوبر,ابوالدهب,674
اكسبريس محور الضبعة,احمد مصطفى,327
ابراج اكتوبر,ارامكس,546
المهندسين العبور,اسكندر,507
المهندسين العبور,التركية الشروق,692
المهندسين العبور,ثرى مكس محور الضبعة,515
المهندسين العبور,جولدن مكس اكتوبر,504
المهندسين العبور,ماستر الشروق,417
ميدل ايست اكتوبر,اسلام الزيدى,524
ميدل ايست اكتوبر,الفراعنة العاشر,373
سيمكس اكتوبر,اشرف جمال,428
سيمكس اكتوبر,ماك العاصمة,449
نيومكس اول محور الضبعة,البطراوى,489
نيومكس اول محور الضبعة,ابوجميعة  الرحاب,505
نيومكس اول محور الضبعة,اركان العاشر,515
نيومكس اول محور الضبعة,البنيان الشروق,534
نيومكس اول محور الضبعة,الرحاب بدر,508
نيومكس اول محور الضبعة,الكيان العاشر,507
نيومكس اول محور الضبعة,الماسة العاشر,589
نيومكس اول محور الضبعة,اوسكار السخنة,485
نيومكس اول محور الضبعة,خلفاء مكرم حدائق العاصمة,478
نيومكس اول محور الضبعة,ريلانس اكتوبر,441
نيومكس اول محور الضبعة,ريلانس العاصمة,495
نيومكس اول محور الضبعة,كابيتال الرحاب,497
نيومكس اول محور الضبعة,كابيتال مدينة نصلر,545
نيومكس اول محور الضبعة,كونكريت العاشر,438
وان مكس التجمع,الجيوشى,376
برتكو اكتوبر,الخليجية,871
برتكو اكتوبر,ابيس,340
اكتوبر,الخولى,419
اكتوبر,ارين القطامية,526
اكتوبر,الحديدى العاشر,395
اكتوبر,الشروق اكتوبر,342
اكتوبر,الفردوس اكتوبر,312
اكتوبر,المصرية الالمانية حلوان,447
مكريت العاصمة,الروضة,438
اكسبريس بدر,السعداء,512
زهراء مدينة نصر,الشربينى,391
بروتيت لكتوبر,الشوربجى,227
العزايزى الصف,العالمية للانتاج,567
جسر السويس,العربى,442
الغرابيلى البراجيل,العشرى,599
الغرابيلى البراجيل,المهندسين السادات,455
الغرابيلى البراجيل,النميس ابورواش,422
الغرابيلى البراجيل,جوكر ابورواش,366
الغرابيلى البراجيل,دينا مكس اكتوبر,451
الغرابيلى البراجيل,كرافت زهراء المعادى,325
يورتكشن اكتوبر,العوضى,34
يورتكشن اكتوبر,اسيك بنى سويف,536
مكة العاشر,الفاتح,174
مكة العاشر,اريزونا الفيوم,366
مكة العاشر,الدولية اكتوبر,481
مكة العاشر,المعمار بدر,500
مكة العاشر,ايجبت الرحاب,343
مكة العاشر,ايمكو مايو,454
مكة العاشر,بيرفكت المقطم,558
مكة العاشر,جو السلام,423
مكة العاشر,جو العاصمة,446
مكة العاشر,ريلانس التجمع,463
فريد كون بهتيم,الفايد,458
فريد كون بهتيم,جريك مدينتى,570
يونيون,الفجر,435
يونيون,الشادى التجمع,414
يونيون,النعيم التجمع,435
يونيون,بروفيشنال ابورواش,420
كرواية التجمع,الفرماوى,348
كرواية التجمع,اعمار اكتوبر,513
كرواية التجمع,الصالحين الشروق,550
كرواية التجمع,الفضل العبور,398
كرواية التجمع,الكيان العاصمة,441
كرواية التجمع,الماسة الفسطاط,418
كرواية التجمع,المهندسين العاصمة,489
